raw_symbol,instrument_id,underlying,asset,security_type,instrument_class,strike_price,expiration,expiration_local,expiration_date,dte_calendar,activation,standard_target_distance_points,defensive_target_distance_points
MQ1M6 P24800,42877893,MNQM6,MQ1,OOF,P,24800.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,1365.3199999999997,488.27000000000044
MQ1M6 P24900,42867188,MNQM6,MQ1,OOF,P,24900.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,1265.3199999999997,388.27000000000044
MQ1M6 P25000,42867186,MNQM6,MQ1,OOF,P,25000.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,1165.3199999999997,288.27000000000044
MQ1M6 P25100,42896470,MNQM6,MQ1,OOF,P,25100.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,1065.3199999999997,188.27000000000044
MQ1M6 P25200,42896469,MNQM6,MQ1,OOF,P,25200.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,965.3199999999997,88.27000000000044
MQ1M6 P25250,42877897,MNQM6,MQ1,OOF,P,25250.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,915.3199999999997,38.27000000000044
MQ1M6 P25300,42987947,MNQM6,MQ1,OOF,P,25300.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,865.3199999999997,11.729999999999563
MQ1M6 P25400,42867182,MNQM6,MQ1,OOF,P,25400.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,765.3199999999997,111.72999999999956
MQ1M6 P25500,42896474,MNQM6,MQ1,OOF,P,25500.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,665.3199999999997,211.72999999999956
MQ1M6 P25600,42909370,MNQM6,MQ1,OOF,P,25600.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,565.3199999999997,311.72999999999956
MQ1M6 P25700,42987950,MNQM6,MQ1,OOF,P,25700.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,465.3199999999997,411.72999999999956
MQ1M6 P25750,42919020,MNQM6,MQ1,OOF,P,25750.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,415.3199999999997,461.72999999999956
MQ1M6 P25800,42919018,MNQM6,MQ1,OOF,P,25800.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,365.3199999999997,511.72999999999956
MQ1M6 P25900,42867184,MNQM6,MQ1,OOF,P,25900.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,265.3199999999997,611.7299999999996
MQ1M6 P26000,42873905,MNQM6,MQ1,OOF,P,26000.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,165.3199999999997,711.7299999999996
MQ1M6 P26100,42870451,MNQM6,MQ1,OOF,P,26100.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,65.31999999999971,811.7299999999996
MQ1M6 P26200,42983998,MNQM6,MQ1,OOF,P,26200.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,34.68000000000029,911.7299999999996
MQ1M6 P26250,42896473,MNQM6,MQ1,OOF,P,26250.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,84.68000000000029,961.7299999999996
MQ1M6 P26300,42983997,MNQM6,MQ1,OOF,P,26300.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,134.6800000000003,1011.7299999999996
MQ1M6 P26400,42909262,MNQM6,MQ1,OOF,P,26400.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,234.6800000000003,1111.7299999999996
MQ1M6 P26500,42896472,MNQM6,MQ1,OOF,P,26500.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,334.6800000000003,1211.7299999999996
MQ1M6 P26600,42919019,MNQM6,MQ1,OOF,P,26600.0,2026-06-05 20:00:00+00:00,2026-06-05 16:00:00-04:00,2026-06-05,28,2026-04-27 20:25:00+00:00,434.6800000000003,1311.7299999999996
MQ2M6 P25000,43016122,MNQM6,MQ2,OOF,P,25000.0,2026-06-12 20:00:00+00:00,2026-06-12 16:00:00-04:00,2026-06-12,35,2026-05-04 20:25:00+00:00,1165.3199999999997,288.27000000000044
MQ2M6 P25250,42884925,MNQM6,MQ2,OOF,P,25250.0,2026-06-12 20:00:00+00:00,2026-06-12 16:00:00-04:00,2026-06-12,35,2026-05-04 20:25:00+00:00,915.3199999999997,38.27000000000044
MQ2M6 P25500,42973592,MNQM6,MQ2,OOF,P,25500.0,2026-06-12 20:00:00+00:00,2026-06-12 16:00:00-04:00,2026-06-12,35,2026-05-04 20:25:00+00:00,665.3199999999997,211.72999999999956
MQ2M6 P25750,42884937,MNQM6,MQ2,OOF,P,25750.0,2026-06-12 20:00:00+00:00,2026-06-12 16:00:00-04:00,2026-06-12,35,2026-05-04 20:25:00+00:00,415.3199999999997,461.72999999999956
MQ2M6 P25900,42884933,MNQM6,MQ2,OOF,P,25900.0,2026-06-12 20:00:00+00:00,2026-06-12 16:00:00-04:00,2026-06-12,35,2026-05-04 20:25:00+00:00,265.3199999999997,611.7299999999996
MQ2M6 P26000,42973791,MNQM6,MQ2,OOF,P,26000.0,2026-06-12 20:00:00+00:00,2026-06-12 16:00:00-04:00,2026-06-12,35,2026-05-04 20:25:00+00:00,165.3199999999997,711.7299999999996
MQ2M6 P26100,42884890,MNQM6,MQ2,OOF,P,26100.0,2026-06-12 20:00:00+00:00,2026-06-12 16:00:00-04:00,2026-06-12,35,2026-05-04 20:25:00+00:00,65.31999999999971,811.7299999999996
MQ2M6 P26200,42894175,MNQM6,MQ2,OOF,P,26200.0,2026-06-12 20:00:00+00:00,2026-06-12 16:00:00-04:00,2026-06-12,35,2026-05-04 20:25:00+00:00,34.68000000000029,911.7299999999996
MQ2M6 P26250,42922134,MNQM6,MQ2,OOF,P,26250.0,2026-06-12 20:00:00+00:00,2026-06-12 16:00:00-04:00,2026-06-12,35,2026-05-04 20:25:00+00:00,84.68000000000029,961.7299999999996
MQ2M6 P26300,43016098,MNQM6,MQ2,OOF,P,26300.0,2026-06-12 20:00:00+00:00,2026-06-12 16:00:00-04:00,2026-06-12,35,2026-05-04 20:25:00+00:00,134.6800000000003,1011.7299999999996
MQ2M6 P26400,42941357,MNQM6,MQ2,OOF,P,26400.0,2026-06-12 20:00:00+00:00,2026-06-12 16:00:00-04:00,2026-06-12,35,2026-05-04 20:25:00+00:00,234.6800000000003,1111.7299999999996
MQ2M6 P26500,42973711,MNQM6,MQ2,OOF,P,26500.0,2026-06-12 20:00:00+00:00,2026-06-12 16:00:00-04:00,2026-06-12,35,2026-05-04 20:25:00+00:00,334.6800000000003,1211.7299999999996
MQ2M6 P26600,42884938,MNQM6,MQ2,OOF,P,26600.0,2026-06-12 20:00:00+00:00,2026-06-12 16:00:00-04:00,2026-06-12,35,2026-05-04 20:25:00+00:00,434.6800000000003,1311.7299999999996
