entry_date,bucket,vix_close,ladder_distance_pct,dataset_condition,expiration,dte_calendar,underlying,asset,listed_put_strikes,minimum_strike,maximum_strike,exact_150_point_pairs,has_any_150_point_pair,dte_priority_distance_from_28
2020-09-04,30_to_35,30.75,15.0,available,2020-09-30 20:00:00+00:00,26,MNQZ0,MQE,471,5900.0,15000.0,409,True,2
2020-10-30,35_to_40,38.02,15.0,available,2020-11-27 21:00:00+00:00,28,MNQZ0,MQ4,392,8910.0,12820.0,377,True,0
2020-10-30,35_to_40,38.02,15.0,available,2020-11-30 21:00:00+00:00,31,MNQZ0,MQE,545,5400.0,15000.0,485,True,3
2022-02-25,25_to_30,27.59,15.0,available,2022-03-31 20:00:00+00:00,34,MNQM2,MQE,751,7000.0,21400.0,675,True,6
2022-05-13,25_to_30,28.87,15.0,available,2022-06-17 13:30:00+00:00,35,MNQM2,MNQ,225,6000.0,21500.0,156,True,7
2022-07-15,20_to_25,24.23,12.5,available,2022-08-12 20:00:00+00:00,28,MNQU2,MQ2,300,6000.0,15500.0,253,True,0
2022-07-15,20_to_25,24.23,12.5,available,2022-08-19 20:00:00+00:00,35,MNQU2,MQ3,151,5500.0,16500.0,116,True,7
2023-05-26,15_to_20,17.95,10.5,available,2023-06-23 20:00:00+00:00,28,MNQU3,MQ4,114,3000.0,19500.0,70,True,0
2023-05-26,15_to_20,17.95,10.5,available,2023-06-30 20:00:00+00:00,35,MNQU3,MQE,110,3000.0,19500.0,29,True,7
2023-11-10,below_15,14.17,9.0,available,2023-12-08 21:00:00+00:00,28,MNQZ3,MQ2,121,3500.0,21500.0,73,True,0
2023-11-10,below_15,14.17,9.0,available,2023-12-15 14:30:00+00:00,35,MNQZ3,MNQ,105,3000.0,22000.0,23,True,7
2023-11-10,below_15,14.17,9.0,available,2023-12-15 21:00:00+00:00,35,MNQH4,MQ3,105,3000.0,22000.0,23,True,7
2024-03-15,below_15,14.41,9.0,available,2024-04-12 20:00:00+00:00,28,MNQM4,MQ2,146,4000.0,25500.0,88,True,0
2024-03-15,below_15,14.41,9.0,available,2024-04-19 20:00:00+00:00,35,MNQM4,MQ3,119,3500.0,25500.0,25,True,7
2024-09-06,20_to_25,22.38,12.5,available,2024-10-04 20:00:00+00:00,28,MNQZ4,MQ1,49,13500.0,21500.0,12,True,0
2025-04-04,over_40,45.31,15.0,available,2025-05-02 20:00:00+00:00,28,MNQM5,MQ1,63,13000.0,23000.0,16,True,0
2025-04-04,over_40,45.31,15.0,available,2025-04-30 20:00:00+00:00,26,MNQM5,MQE,148,4000.0,31500.0,30,True,2
2025-04-11,35_to_40,37.56,15.0,available,2025-05-09 20:00:00+00:00,28,MNQM5,MQ2,59,13000.0,22000.0,14,True,0
2025-04-11,35_to_40,37.56,15.0,available,2025-05-16 20:00:00+00:00,35,MNQM5,MQ3,148,3500.0,31500.0,29,True,7
2025-10-24,15_to_20,16.37,10.5,available,2025-11-21 21:00:00+00:00,28,MNQZ5,MQ3,143,5000.0,35500.0,24,True,0
2025-10-24,15_to_20,16.37,10.5,available,2025-11-28 21:00:00+00:00,35,MNQZ5,MQE,143,5000.0,35500.0,24,True,7
