entry_date,bucket,vix_close,ladder_distance_pct,expiration,dte_calendar,underlying,underlying_mid,ladder_target_strike,selected_short_strike,selected_long_strike,selected_short_pct_below_mnq,target_to_selected_short_slippage_points,short_symbol,long_symbol,selection_status
2020-09-04,30_to_35,30.75,15.0,2020-09-30 20:00:00+00:00,26,MNQZ0,11629.75,9885.2875,9880.0,9730.0,15.04546529375094,5.287500000000364,MQEU0 P0988,MQEU0 P0973,Selected
2020-10-30,35_to_40,38.02,15.0,2020-11-27 21:00:00+00:00,28,MNQZ0,10997.0,9347.449999999999,9340.0,9190.0,15.067745748840593,7.449999999998909,MQ4X0 P0934,MQ4X0 P0919,Selected
2022-02-25,25_to_30,27.59,15.0,2022-03-31 20:00:00+00:00,34,MNQM2,14152.0,12029.199999999999,12020.0,11870.0,15.065008479366874,9.199999999998909,MQEH2 P1202,MQEH2 P1187,Selected
2022-05-13,25_to_30,28.87,15.0,2022-06-17 13:30:00+00:00,35,MNQM2,12380.375,10523.31875,10500.0,10350.0,15.188352533747967,23.318750000000364,MNQM2 P1050,MNQM2 P1035,Selected
2022-07-15,20_to_25,24.23,12.5,2022-08-12 20:00:00+00:00,28,MNQU2,11983.0,10485.125,10450.0,10300.0,12.793123591754988,35.125,MQ2Q2 P1045,MQ2Q2 P1030,Selected
2023-05-26,15_to_20,17.95,10.5,2023-06-23 20:00:00+00:00,28,MNQU3,14520.75,12996.07125,12950.0,12800.0,10.817278721829107,46.07125000000087,MQ4M3 P12950,MQ4M3 P12800,Selected
2023-11-10,below_15,14.17,9.0,2023-12-08 21:00:00+00:00,28,MNQZ3,15596.125,14192.473750000001,14150.0,14000.0,9.272335275589288,42.47375000000102,MQ2Z3 P14150,MQ2Z3 P14000,Selected
2024-03-15,below_15,14.41,9.0,2024-04-12 20:00:00+00:00,28,MNQM4,18069.0,16442.79,16400.0,16250.0,9.236814433560241,42.79000000000087,MQ2J4 P16400,MQ2J4 P16250,Selected
2024-09-06,20_to_25,22.38,12.5,2024-10-04 20:00:00+00:00,28,MNQZ4,18701.75,16364.03125,,,,,,,No exact 150-point pair at or below target
2025-04-04,over_40,45.31,15.0,2025-05-02 20:00:00+00:00,28,MNQM5,17803.75,15133.1875,,,,,,,No exact 150-point pair at or below target
2025-04-11,35_to_40,37.56,15.0,2025-05-09 20:00:00+00:00,28,MNQM5,18841.0,16014.85,,,,,,,No exact 150-point pair at or below target
2025-10-24,15_to_20,16.37,10.5,2025-11-21 21:00:00+00:00,28,MNQZ5,25542.875,22860.873125000002,22750.0,22600.0,10.934066740725152,110.87312500000189,MQ3X5 P22750,MQ3X5 P22600,Selected
