entry_date,bucket,vix_close,ladder_distance_pct,expiration,dte_calendar,underlying,exact_150_point_pairs,dataset_condition,target_entry_timestamp_local,quote_window_start_utc,quote_window_end_utc,estimated_cost_usd,estimated_record_count
2020-09-04,30_to_35,30.75,15.0,2020-09-30T20:00:00+00:00,26,MNQZ0,409,available,2020-09-04T15:45:00-04:00,2020-09-04T19:40:00+00:00,2020-09-04T19:50:00+00:00,0.086041241884,64157
2020-10-30,35_to_40,38.02,15.0,2020-11-27T21:00:00+00:00,28,MNQZ0,377,available,2020-10-30T15:45:00-04:00,2020-10-30T19:40:00+00:00,2020-10-30T19:50:00+00:00,0.097537189722,72729
2022-02-25,25_to_30,27.59,15.0,2022-03-31T20:00:00+00:00,34,MNQM2,675,available,2022-02-25T15:45:00-05:00,2022-02-25T20:40:00+00:00,2022-02-25T20:50:00+00:00,0.071498304605,53313
2022-05-13,25_to_30,28.87,15.0,2022-06-17T13:30:00+00:00,35,MNQM2,156,available,2022-05-13T15:45:00-04:00,2022-05-13T19:40:00+00:00,2022-05-13T19:50:00+00:00,0.099248439074,74005
2022-07-15,20_to_25,24.23,12.5,2022-08-12T20:00:00+00:00,28,MNQU2,253,available,2022-07-15T15:45:00-04:00,2022-07-15T19:40:00+00:00,2022-07-15T19:50:00+00:00,0.099247097969,74004
2023-05-26,15_to_20,17.95,10.5,2023-06-23T20:00:00+00:00,28,MNQU3,70,available,2023-05-26T15:45:00-04:00,2023-05-26T19:40:00+00:00,2023-05-26T19:50:00+00:00,0.058178454638,43381
2023-11-10,below_15,14.17,9.0,2023-12-08T21:00:00+00:00,28,MNQZ3,73,available,2023-11-10T15:45:00-05:00,2023-11-10T20:40:00+00:00,2023-11-10T20:50:00+00:00,0.102446973324,76390
2024-03-15,below_15,14.41,9.0,2024-04-12T20:00:00+00:00,28,MNQM4,88,available,2024-03-15T15:45:00-04:00,2024-03-15T19:40:00+00:00,2024-03-15T19:50:00+00:00,0.096806287766,72184
2024-09-06,20_to_25,22.38,12.5,2024-10-04T20:00:00+00:00,28,MNQZ4,12,available,2024-09-06T15:45:00-04:00,2024-09-06T19:40:00+00:00,2024-09-06T19:50:00+00:00,0.000804662704,600
2025-04-04,over_40,45.31,15.0,2025-05-02T20:00:00+00:00,28,MNQM5,16,available,2025-04-04T15:45:00-04:00,2025-04-04T19:40:00+00:00,2025-04-04T19:50:00+00:00,0.000804662704,600
2025-04-11,35_to_40,37.56,15.0,2025-05-09T20:00:00+00:00,28,MNQM5,14,available,2025-04-11T15:45:00-04:00,2025-04-11T19:40:00+00:00,2025-04-11T19:50:00+00:00,0.000804662704,600
2025-10-24,15_to_20,16.37,10.5,2025-11-21T21:00:00+00:00,28,MNQZ5,24,available,2025-10-24T15:45:00-04:00,2025-10-24T19:40:00+00:00,2025-10-24T19:50:00+00:00,0.000804662704,600
